Store,id,res_id,City,StreetNa_1,ADDRESS,House_Num1,House_Num2,House_Num3,House_Num4,House_Num5,House_Num6,Build_type,adres_full,Cell,Y,X,car,pedestrian,Status,Type,Year_buld,floors,flats,Matwalls,people,Key_Accou,Bus
KFC Belorusskaya Moscow,5003001982,0,Москва,Новослободская,61 стр 3,61, , ,стр,3,стр 3,Нежил,"Москва, Новослободская, 61 стр 3",C1,"37,591404","55,787524",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003001983,0,Москва,Новослободская,65 стр 1,65, , ,стр,1,стр 1,Нежил,"Москва, Новослободская, 65 стр 1",C1,"37,591365","55,788036",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003001984,0,Москва,Новослободская,61 стр 4,61, , ,стр,4,стр 4,Нежил,"Москва, Новослободская, 61 стр 4",C1,"37,59152","55,787398",10,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003001985,0,Москва,Новослободская,61 стр 1,61, , ,стр,1,стр 1,Нежил,"Москва, Новослободская, 61 стр 1",C1,"37,591673","55,787806",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003001986,0,Москва,Горлов тупик,11А,11А, , , , , ,Нежил,"Москва, Горлов тупик, 11А",C1,"37,591882","55,785256",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003001987,0,Москва,Новолесная,2,2, , , , , ,БЦ,"Москва, Новолесная, 2",C1,"37,592359","55,781728",5,15,active, ,0,0,0, ,1178, ,15
KFC Belorusskaya Moscow,5003001988,0,Москва,Горлов тупик,27 стр 9,27, , ,стр,9,стр 9,Нежил,"Москва, Горлов тупик, 27 стр 9",C1,"37,591956","55,784917",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003001989,0,Москва,Новолесная,6Б стр 1,6Б, , ,стр,1,стр 1,Нежил,"Москва, Новолесная, 6Б стр 1",C1,"37,592097","55,783552",5,15,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001990,0,Москва,Лесная,55 стр 4,55, , ,стр,4,стр 4,Нежил,"Москва, Лесная, 55 стр 4",C1,"37,591986","55,782125",5,15,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001991,0,Москва,Новослободская,57,57, , , , , ,Нежил,"Москва, Новослободская, 57",C1,"37,592216","55,786904",10,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003001992,0,Москва,Новослободская,45 стр 14,45, , ,стр,14,стр 14,Нежил,"Москва, Новослободская, 45 стр 14",C1,"37,592313","55,785008",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003001993,0,Москва,Горлов тупик,27 стр 4,27, , ,стр,4,стр 4,Нежил,"Москва, Горлов тупик, 27 стр 4",C1,"37,592231","55,784295",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003001994,0,Москва,Лесная,57 стр 4,57, , ,стр,4,стр 4,Нежил,"Москва, Лесная, 57 стр 4",C1,"37,59238","55,782141",5,15,active, ,0,0,0, ,0, ,15
